12:16:37.303 SYN
12:16:37.312 [DESKTOP-J4IRC2O::127.0.0.1] CNC[0]
12:16:37.328 [DESKTOP-J4IRC2O::127.0.0.1] CNC[1]
12:16:37.333 [DESKTOP-J4IRC2O::127.0.0.1] CNC[2]
12:16:37.339 [DESKTOP-J4IRC2O::127.0.0.1] CNC[3]
12:16:37.345 [DESKTOP-J4IRC2O::127.0.0.1] CNC[4]
12:16:37.351 [DESKTOP-J4IRC2O::127.0.0.1] CNC[5]
12:16:37.356 [DESKTOP-J4IRC2O::127.0.0.1] RPL[0]::[DEB8EA75]
12:16:37.361 [DESKTOP-J4IRC2O::127.0.0.1] CNC[6]
12:16:37.366 [DESKTOP-J4IRC2O::127.0.0.1] CNC[7]
12:16:37.369 [DESKTOP-J4IRC2O::127.0.0.1] CNC[8]
12:16:37.374 [DESKTOP-J4IRC2O::127.0.0.1] RPL[1]::[DEB8EA75]
12:16:37.377 [DESKTOP-J4IRC2O::127.0.0.1] CNC[9]
12:16:37.381 [DESKTOP-J4IRC2O::127.0.0.1] CNC[10]
12:16:37.385 [DESKTOP-J4IRC2O::127.0.0.1] RPL[2]::[DEB8EA75]
12:16:37.389 [DESKTOP-J4IRC2O::127.0.0.1] CNC[11]
12:16:37.393 [DESKTOP-J4IRC2O::127.0.0.1] CNC[12]
12:16:37.398 [DESKTOP-J4IRC2O::127.0.0.1] RPL[3]::[DEB8EA75]
12:16:37.403 [DESKTOP-J4IRC2O::127.0.0.1] CNC[13]
12:16:37.407 [DESKTOP-J4IRC2O::127.0.0.1] CNC[14]
12:16:37.412 [DESKTOP-J4IRC2O::127.0.0.1] RPL[4]::[DEB8EA75]
12:16:37.417 [DESKTOP-J4IRC2O::127.0.0.1] CNC[15]
12:16:37.422 [DESKTOP-J4IRC2O::127.0.0.1] CNC[16]
12:16:37.427 [DESKTOP-J4IRC2O::127.0.0.1] CNC[17]
12:16:37.432 [DESKTOP-J4IRC2O::127.0.0.1] RPL[5]::[DEB8EA75]
12:16:37.437 [DESKTOP-J4IRC2O::127.0.0.1] CNC[18]
12:16:37.441 [DESKTOP-J4IRC2O::127.0.0.1] CNC[19]
12:16:37.448 [DESKTOP-J4IRC2O::127.0.0.1] RPL[6]::[DEB8EA75]
12:16:37.453 [DESKTOP-J4IRC2O::127.0.0.1] CNC[20]
12:16:37.459 [DESKTOP-J4IRC2O::127.0.0.1] RPL[7]::[DEB8EA75]
12:16:37.464 [DESKTOP-J4IRC2O::127.0.0.1] CNC[21]
12:16:37.470 [DESKTOP-J4IRC2O::127.0.0.1] RPL[8]::[DEB8EA75]
12:16:37.475 [DESKTOP-J4IRC2O::127.0.0.1] CNC[22]
12:16:37.483 [DESKTOP-J4IRC2O::127.0.0.1] RPL[9]::[DEB8EA75]
12:16:37.489 [DESKTOP-J4IRC2O::127.0.0.1] RPL[10]::[DEB8EA75]
12:16:37.494 [DESKTOP-J4IRC2O::127.0.0.1] CNC[23]
12:16:37.500 [DESKTOP-J4IRC2O::127.0.0.1] RPL[11]::[DEB8EA75]
12:16:37.505 [DESKTOP-J4IRC2O::127.0.0.1] RPL[12]::[DEB8EA75]
12:16:37.510 [DESKTOP-J4IRC2O::127.0.0.1] RPL[13]::[DEB8EA75]
12:16:37.515 [DESKTOP-J4IRC2O::127.0.0.1] CNC[24]
12:16:37.522 [DESKTOP-J4IRC2O::127.0.0.1] RPL[14]::[DEB8EA75]
12:16:37.528 [DESKTOP-J4IRC2O::127.0.0.1] RPL[15]::[DEB8EA75]
12:16:37.535 [DESKTOP-J4IRC2O::127.0.0.1] RPL[16]::[DEB8EA75]
12:16:37.540 [DESKTOP-J4IRC2O::127.0.0.1] RPL[17]::[DEB8EA75]
12:16:37.545 [DESKTOP-J4IRC2O::127.0.0.1] CNC[25]
12:16:37.554 [DESKTOP-J4IRC2O::127.0.0.1] RPL[18]::[DEB8EA75]
12:16:37.560 [DESKTOP-J4IRC2O::127.0.0.1] RPL[19]::[DEB8EA75]
12:16:37.568 [DESKTOP-J4IRC2O::127.0.0.1] RPL[20]::[DEB8EA75]
12:16:37.574 [DESKTOP-J4IRC2O::127.0.0.1] RPL[21]::[DEB8EA75]
12:16:37.580 [DESKTOP-J4IRC2O::127.0.0.1] RPL[22]::[DEB8EA75]
12:16:37.586 [DESKTOP-J4IRC2O::127.0.0.1] RPL[23]::[DEB8EA75]
12:16:37.592 [DESKTOP-J4IRC2O::127.0.0.1] RPL[24]::[DEB8EA75]
12:16:37.597 [DESKTOP-J4IRC2O::127.0.0.1] CNC[26]
12:16:37.604 [DESKTOP-J4IRC2O::127.0.0.1] RPL[25]::[DEB8EA75]
12:16:37.611 [DESKTOP-J4IRC2O::127.0.0.1] RPL[26]::[DEB8EA75]
12:16:37.619 [DESKTOP-J4IRC2O::127.0.0.1] CNC[27]
12:16:37.625 [DESKTOP-J4IRC2O::127.0.0.1] RPL[27]::[DEB8EA75]
12:16:37.632 [DESKTOP-J4IRC2O::127.0.0.1] CNC[28]
12:16:37.640 [DESKTOP-J4IRC2O::127.0.0.1] RPL[28]::[DEB8EA75]
12:16:37.647 [DESKTOP-J4IRC2O::127.0.0.1] CNC[29]
12:16:37.655 [DESKTOP-J4IRC2O::127.0.0.1] RPL[29]::[DEB8EA75]
12:16:37.661 [DESKTOP-J4IRC2O::127.0.0.1] CNC[30]
12:16:37.669 [DESKTOP-J4IRC2O::127.0.0.1] RPL[30]::[DEB8EA75]
12:16:37.675 [DESKTOP-J4IRC2O::127.0.0.1] CNC[31]
12:16:37.683 [DESKTOP-J4IRC2O::127.0.0.1] RPL[31]::[DEB8EA75]
12:16:37.690 [DESKTOP-J4IRC2O::127.0.0.1] CNC[32]
12:16:37.697 [DESKTOP-J4IRC2O::127.0.0.1] RPL[32]::[DEB8EA75]
12:16:37.704 [DESKTOP-J4IRC2O::127.0.0.1] CNC[33]
12:16:37.711 [DESKTOP-J4IRC2O::127.0.0.1] RPL[33]::[DEB8EA75]
