12:46:34.640 SYN
12:46:38.045 READY
12:46:34.643 [DESKTOP-J4IRC2O::127.0.0.1] CNC[0]
12:46:34.649 [DESKTOP-J4IRC2O::127.0.0.1] CNC[1]
12:46:34.651 [DESKTOP-J4IRC2O::127.0.0.1] RPL[0]::[DEB8F17A]
12:46:34.652 [DESKTOP-J4IRC2O::127.0.0.1] CNC[2]
12:46:34.654 [DESKTOP-J4IRC2O::127.0.0.1] CNC[3]
12:46:34.656 [DESKTOP-J4IRC2O::127.0.0.1] CNC[4]
12:46:34.659 [DESKTOP-J4IRC2O::127.0.0.1] CNC[5]
12:46:34.662 [DESKTOP-J4IRC2O::127.0.0.1] CNC[6]
12:46:34.664 [DESKTOP-J4IRC2O::127.0.0.1] CNC[7]
12:46:34.665 [DESKTOP-J4IRC2O::127.0.0.1] CNC[8]
12:46:34.668 [DESKTOP-J4IRC2O::127.0.0.1] CNC[9]
12:46:34.671 [DESKTOP-J4IRC2O::127.0.0.1] CNC[10]
12:46:34.673 [DESKTOP-J4IRC2O::127.0.0.1] CNC[11]
12:46:34.676 [DESKTOP-J4IRC2O::127.0.0.1] CNC[12]
12:46:34.678 [DESKTOP-J4IRC2O::127.0.0.1] CNC[13]
12:46:34.681 [DESKTOP-J4IRC2O::127.0.0.1] CNC[14]
12:46:34.682 [DESKTOP-J4IRC2O::127.0.0.1] CNC[15]
12:46:34.684 [DESKTOP-J4IRC2O::127.0.0.1] RPL[1]::[DEB8F17A]
12:46:34.685 [DESKTOP-J4IRC2O::127.0.0.1] CNC[16]
12:46:34.688 [DESKTOP-J4IRC2O::127.0.0.1] CNC[17]
12:46:34.689 [DESKTOP-J4IRC2O::127.0.0.1] CNC[18]
12:46:34.692 [DESKTOP-J4IRC2O::127.0.0.1] CNC[19]
12:46:34.695 [DESKTOP-J4IRC2O::127.0.0.1] CNC[20]
12:46:34.697 [DESKTOP-J4IRC2O::127.0.0.1] CNC[21]
12:46:34.699 [DESKTOP-J4IRC2O::127.0.0.1] CNC[22]
12:46:34.701 [DESKTOP-J4IRC2O::127.0.0.1] CNC[23]
12:46:34.704 [DESKTOP-J4IRC2O::127.0.0.1] CNC[24]
12:46:34.706 [DESKTOP-J4IRC2O::127.0.0.1] CNC[25]
12:46:34.707 [DESKTOP-J4IRC2O::127.0.0.1] CNC[26]
12:46:34.710 [DESKTOP-J4IRC2O::127.0.0.1] CNC[27]
12:46:34.712 [DESKTOP-J4IRC2O::127.0.0.1] CNC[28]
12:46:34.714 [DESKTOP-J4IRC2O::127.0.0.1] CNC[29]
12:46:34.715 [DESKTOP-J4IRC2O::127.0.0.1] CNC[30]
12:46:34.718 [DESKTOP-J4IRC2O::127.0.0.1] RPL[2]::[DEB8F17A]
12:46:34.718 [DESKTOP-J4IRC2O::127.0.0.1] CNC[31]
12:46:34.721 [DESKTOP-J4IRC2O::127.0.0.1] CNC[32]
12:46:34.723 [DESKTOP-J4IRC2O::127.0.0.1] CNC[33]
12:46:34.725 [DESKTOP-J4IRC2O::127.0.0.1] CNC[34]
12:46:34.728 [DESKTOP-J4IRC2O::127.0.0.1] CNC[35]
12:46:34.731 [DESKTOP-J4IRC2O::127.0.0.1] CNC[36]
12:46:34.732 [DESKTOP-J4IRC2O::127.0.0.1] CNC[37]
12:46:34.734 [DESKTOP-J4IRC2O::127.0.0.1] CNC[38]
12:46:34.737 [DESKTOP-J4IRC2O::127.0.0.1] CNC[39]
12:46:34.739 [DESKTOP-J4IRC2O::127.0.0.1] CNC[40]
12:46:34.740 [DESKTOP-J4IRC2O::127.0.0.1] CNC[41]
12:46:34.743 [DESKTOP-J4IRC2O::127.0.0.1] CNC[42]
12:46:34.746 [DESKTOP-J4IRC2O::127.0.0.1] CNC[43]
12:46:34.748 [DESKTOP-J4IRC2O::127.0.0.1] CNC[44]
12:46:34.749 [DESKTOP-J4IRC2O::127.0.0.1] CNC[45]
12:46:34.753 [DESKTOP-J4IRC2O::127.0.0.1] RPL[3]::[DEB8F17A]
12:46:34.755 [DESKTOP-J4IRC2O::127.0.0.1] CNC[46]
12:46:34.756 [DESKTOP-J4IRC2O::127.0.0.1] CNC[47]
12:46:34.758 [DESKTOP-J4IRC2O::127.0.0.1] CNC[48]
12:46:34.761 [DESKTOP-J4IRC2O::127.0.0.1] CNC[49]
12:46:34.790 [DESKTOP-J4IRC2O::127.0.0.1] RPL[4]::[DEB8F17A]
12:46:34.809 [DESKTOP-J4IRC2O::127.0.0.1] RPL[5]::[DEB8F17A]
12:46:34.825 [DESKTOP-J4IRC2O::127.0.0.1] RPL[6]::[DEB8F17A]
12:46:34.849 [DESKTOP-J4IRC2O::127.0.0.1] RPL[7]::[DEB8F17A]
12:46:34.865 [DESKTOP-J4IRC2O::127.0.0.1] RPL[8]::[DEB8F17A]
12:46:34.877 [DESKTOP-J4IRC2O::127.0.0.1] RPL[9]::[DEB8F17A]
12:46:34.899 [DESKTOP-J4IRC2O::127.0.0.1] RPL[10]::[DEB8F17A]
12:46:34.911 [DESKTOP-J4IRC2O::127.0.0.1] RPL[11]::[DEB8F17A]
12:46:34.921 [DESKTOP-J4IRC2O::127.0.0.1] RPL[12]::[DEB8F17A]
12:46:34.924 [DESKTOP-J4IRC2O::127.0.0.1] RPL[13]::[DEB8F17A]
12:46:34.928 [DESKTOP-J4IRC2O::127.0.0.1] RPL[14]::[DEB8F17A]
12:46:34.931 [DESKTOP-J4IRC2O::127.0.0.1] RPL[15]::[DEB8F17A]
12:46:34.934 [DESKTOP-J4IRC2O::127.0.0.1] RPL[16]::[DEB8F17A]
