12:41:36.261 SYN
12:41:36.265 [DESKTOP-J4IRC2O::127.0.0.1] CNC[0]
12:41:36.272 [DESKTOP-J4IRC2O::127.0.0.1] RPL[0]::[DEB8F050]
12:41:36.275 [DESKTOP-J4IRC2O::127.0.0.1] CNC[1]
12:41:36.279 [DESKTOP-J4IRC2O::127.0.0.1] CNC[2]
12:41:36.285 [DESKTOP-J4IRC2O::127.0.0.1] RPL[1]::[DEB8F050]
12:41:36.289 [DESKTOP-J4IRC2O::127.0.0.1] CNC[3]
12:41:36.294 [DESKTOP-J4IRC2O::127.0.0.1] RPL[2]::[DEB8F050]
12:41:36.298 [DESKTOP-J4IRC2O::127.0.0.1] CNC[4]
12:41:36.303 [DESKTOP-J4IRC2O::127.0.0.1] CNC[5]
12:41:36.307 [DESKTOP-J4IRC2O::127.0.0.1] RPL[3]::[DEB8F050]
12:41:36.310 [DESKTOP-J4IRC2O::127.0.0.1] CNC[6]
12:41:36.315 [DESKTOP-J4IRC2O::127.0.0.1] RPL[4]::[DEB8F050]
12:41:36.319 [DESKTOP-J4IRC2O::127.0.0.1] CNC[7]
12:41:36.325 [DESKTOP-J4IRC2O::127.0.0.1] RPL[5]::[DEB8F050]
12:41:36.329 [DESKTOP-J4IRC2O::127.0.0.1] CNC[8]
12:41:36.335 [DESKTOP-J4IRC2O::127.0.0.1] RPL[6]::[DEB8F050]
12:41:36.340 [DESKTOP-J4IRC2O::127.0.0.1] CNC[9]
12:41:36.346 [DESKTOP-J4IRC2O::127.0.0.1] CNC[10]
12:41:36.353 [DESKTOP-J4IRC2O::127.0.0.1] RPL[7]::[DEB8F050]
12:41:36.357 [DESKTOP-J4IRC2O::127.0.0.1] CNC[11]
12:41:36.363 [DESKTOP-J4IRC2O::127.0.0.1] RPL[8]::[DEB8F050]
12:41:36.368 [DESKTOP-J4IRC2O::127.0.0.1] CNC[12]
12:41:36.375 [DESKTOP-J4IRC2O::127.0.0.1] RPL[9]::[DEB8F050]
12:41:36.379 [DESKTOP-J4IRC2O::127.0.0.1] CNC[13]
12:41:36.384 [DESKTOP-J4IRC2O::127.0.0.1] RPL[10]::[DEB8F050]
12:41:36.389 [DESKTOP-J4IRC2O::127.0.0.1] CNC[14]
12:41:36.396 [DESKTOP-J4IRC2O::127.0.0.1] RPL[11]::[DEB8F050]
12:41:36.400 [DESKTOP-J4IRC2O::127.0.0.1] CNC[15]
12:41:36.406 [DESKTOP-J4IRC2O::127.0.0.1] RPL[12]::[DEB8F050]
12:41:36.412 [DESKTOP-J4IRC2O::127.0.0.1] RPL[13]::[DEB8F050]
12:41:36.416 [DESKTOP-J4IRC2O::127.0.0.1] CNC[16]
12:41:36.422 [DESKTOP-J4IRC2O::127.0.0.1] RPL[14]::[DEB8F050]
12:41:36.428 [DESKTOP-J4IRC2O::127.0.0.1] CNC[17]
12:41:36.435 [DESKTOP-J4IRC2O::127.0.0.1] RPL[15]::[DEB8F050]
12:41:36.440 [DESKTOP-J4IRC2O::127.0.0.1] RPL[16]::[DEB8F050]
12:41:36.445 [DESKTOP-J4IRC2O::127.0.0.1] CNC[18]
12:41:36.450 [DESKTOP-J4IRC2O::127.0.0.1] RPL[17]::[DEB8F050]
12:41:36.455 [DESKTOP-J4IRC2O::127.0.0.1] RPL[18]::[DEB8F050]
12:41:36.461 [DESKTOP-J4IRC2O::127.0.0.1] CNC[19]
12:41:36.466 [DESKTOP-J4IRC2O::127.0.0.1] RPL[19]::[DEB8F050]
12:41:36.471 [DESKTOP-J4IRC2O::127.0.0.1] CNC[20]
12:41:36.478 [DESKTOP-J4IRC2O::127.0.0.1] RPL[20]::[DEB8F050]
12:41:36.483 [DESKTOP-J4IRC2O::127.0.0.1] CNC[21]
12:41:36.490 [DESKTOP-J4IRC2O::127.0.0.1] RPL[21]::[DEB8F050]
12:41:36.497 [DESKTOP-J4IRC2O::127.0.0.1] CNC[22]
12:41:36.503 [DESKTOP-J4IRC2O::127.0.0.1] RPL[22]::[DEB8F050]
12:41:36.511 [DESKTOP-J4IRC2O::127.0.0.1] CNC[23]
12:41:36.519 [DESKTOP-J4IRC2O::127.0.0.1] RPL[23]::[DEB8F050]
12:41:36.529 [DESKTOP-J4IRC2O::127.0.0.1] CNC[24]
12:41:36.536 [DESKTOP-J4IRC2O::127.0.0.1] RPL[24]::[DEB8F050]
12:41:36.545 [DESKTOP-J4IRC2O::127.0.0.1] CNC[25]
12:41:36.552 [DESKTOP-J4IRC2O::127.0.0.1] RPL[25]::[DEB8F050]
12:41:36.562 [DESKTOP-J4IRC2O::127.0.0.1] CNC[26]
12:41:36.570 [DESKTOP-J4IRC2O::127.0.0.1] RPL[26]::[DEB8F050]
12:41:36.578 [DESKTOP-J4IRC2O::127.0.0.1] CNC[27]
12:41:36.585 [DESKTOP-J4IRC2O::127.0.0.1] RPL[27]::[DEB8F050]
12:41:36.595 [DESKTOP-J4IRC2O::127.0.0.1] CNC[28]
12:41:36.603 [DESKTOP-J4IRC2O::127.0.0.1] RPL[28]::[DEB8F050]
12:41:36.611 [DESKTOP-J4IRC2O::127.0.0.1] CNC[29]
12:41:36.619 [DESKTOP-J4IRC2O::127.0.0.1] RPL[29]::[DEB8F050]
12:41:36.629 [DESKTOP-J4IRC2O::127.0.0.1] CNC[30]
12:41:36.636 [DESKTOP-J4IRC2O::127.0.0.1] RPL[30]::[DEB8F050]
12:41:36.645 [DESKTOP-J4IRC2O::127.0.0.1] CNC[31]
12:41:36.652 [DESKTOP-J4IRC2O::127.0.0.1] RPL[31]::[DEB8F050]
12:41:36.663 [DESKTOP-J4IRC2O::127.0.0.1] CNC[32]
12:41:36.670 [DESKTOP-J4IRC2O::127.0.0.1] RPL[32]::[DEB8F050]
12:41:36.678 [DESKTOP-J4IRC2O::127.0.0.1] CNC[33]
12:41:36.686 [DESKTOP-J4IRC2O::127.0.0.1] RPL[33]::[DEB8F050]
12:41:36.696 [DESKTOP-J4IRC2O::127.0.0.1] CNC[34]
12:41:36.703 [DESKTOP-J4IRC2O::127.0.0.1] RPL[34]::[DEB8F050]
12:41:36.711 [DESKTOP-J4IRC2O::127.0.0.1] CNC[35]
12:41:36.719 [DESKTOP-J4IRC2O::127.0.0.1] RPL[35]::[DEB8F050]
12:41:36.729 [DESKTOP-J4IRC2O::127.0.0.1] CNC[36]
12:41:36.736 [DESKTOP-J4IRC2O::127.0.0.1] RPL[36]::[DEB8F050]
12:41:36.745 [DESKTOP-J4IRC2O::127.0.0.1] CNC[37]
12:41:36.752 [DESKTOP-J4IRC2O::127.0.0.1] RPL[37]::[DEB8F050]
12:41:36.762 [DESKTOP-J4IRC2O::127.0.0.1] CNC[38]
12:41:36.770 [DESKTOP-J4IRC2O::127.0.0.1] RPL[38]::[DEB8F050]
12:41:36.779 [DESKTOP-J4IRC2O::127.0.0.1] CNC[39]
12:41:36.786 [DESKTOP-J4IRC2O::127.0.0.1] RPL[39]::[DEB8F050]
12:41:36.796 [DESKTOP-J4IRC2O::127.0.0.1] CNC[40]
12:41:36.802 [DESKTOP-J4IRC2O::127.0.0.1] RPL[40]::[DEB8F050]
12:41:36.811 [DESKTOP-J4IRC2O::127.0.0.1] CNC[41]
12:41:36.819 [DESKTOP-J4IRC2O::127.0.0.1] RPL[41]::[DEB8F050]
12:41:36.827 [DESKTOP-J4IRC2O::127.0.0.1] CNC[42]
12:41:36.834 [DESKTOP-J4IRC2O::127.0.0.1] RPL[42]::[DEB8F050]
12:41:36.845 [DESKTOP-J4IRC2O::127.0.0.1] CNC[43]
12:41:36.852 [DESKTOP-J4IRC2O::127.0.0.1] RPL[43]::[DEB8F050]
12:41:36.861 [DESKTOP-J4IRC2O::127.0.0.1] CNC[44]
12:41:36.868 [DESKTOP-J4IRC2O::127.0.0.1] RPL[44]::[DEB8F050]
12:41:36.878 [DESKTOP-J4IRC2O::127.0.0.1] CNC[45]
12:41:36.885 [DESKTOP-J4IRC2O::127.0.0.1] RPL[45]::[DEB8F050]
12:41:36.895 [DESKTOP-J4IRC2O::127.0.0.1] CNC[46]
12:41:36.902 [DESKTOP-J4IRC2O::127.0.0.1] RPL[46]::[DEB8F050]
12:41:36.911 [DESKTOP-J4IRC2O::127.0.0.1] CNC[47]
12:41:36.918 [DESKTOP-J4IRC2O::127.0.0.1] RPL[47]::[DEB8F050]
12:41:36.928 [DESKTOP-J4IRC2O::127.0.0.1] CNC[48]
12:41:36.935 [DESKTOP-J4IRC2O::127.0.0.1] RPL[48]::[DEB8F050]
12:41:36.944 [DESKTOP-J4IRC2O::127.0.0.1] CNC[49]
12:41:36.950 [DESKTOP-J4IRC2O::127.0.0.1] RPL[49]::[DEB8F050]
12:41:39.276 [DESKTOP-J4IRC2O::127.0.0.1] DSC[0]
12:41:39.290 [DESKTOP-J4IRC2O::127.0.0.1] DSC[1]
12:41:39.299 [DESKTOP-J4IRC2O::127.0.0.1] DSC[2]
12:41:39.311 [DESKTOP-J4IRC2O::127.0.0.1] DSC[3]
12:41:39.320 [DESKTOP-J4IRC2O::127.0.0.1] DSC[4]
12:41:39.331 [DESKTOP-J4IRC2O::127.0.0.1] DSC[5]
12:41:39.341 [DESKTOP-J4IRC2O::127.0.0.1] DSC[6]
12:41:39.358 [DESKTOP-J4IRC2O::127.0.0.1] DSC[7]
12:41:39.369 [DESKTOP-J4IRC2O::127.0.0.1] DSC[8]
12:41:39.380 [DESKTOP-J4IRC2O::127.0.0.1] DSC[9]
12:41:39.390 [DESKTOP-J4IRC2O::127.0.0.1] DSC[10]
