ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.0.0.9]

Дата:;;;;2018.03.01
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;300
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;0

Начало:;;;;20:23:36.482
Край:;;;;20:23:37.947
Продължителност:;;;;1.465

Client;T REQ;T CNC;T RPL;T DSC;T ERR;Reply;Port
0;0;981;982;982;;DE42C3A8;52352
1;3;982;984;984;;DE42C3A8;52353
2;5;984;988;989;;DE42C3A8;52354
3;8;986;988;989;;DE42C3A8;52355
4;10;986;991;992;;DE42C3A8;52356
5;13;991;992;993;;DE42C3A8;52357
6;17;991;993;994;;DE42C3A8;52358
7;20;992;994;995;;DE42C3A8;52359
8;22;993;995;995;;DE42C3A8;52360
9;26;994;996;996;;DE42C3A8;52361
10;29;995;997;997;;DE42C3A8;52362
11;32;995;997;998;;DE42C3A8;52363
12;34;996;998;999;;DE42C3A8;52364
13;37;997;1000;1000;;DE42C3A8;52365
14;40;998;1000;1002;;DE42C3A8;52366
15;43;999;1001;1002;;DE42C3A8;52367
16;46;1000;1002;1004;;DE42C3A8;52368
17;49;1001;1004;1007;;DE42C3A8;52369
18;52;1002;1004;1008;;DE42C3A8;52370
19;54;1003;1005;1010;;DE42C3A8;52371
20;58;1004;1006;1010;;DE42C3A8;52372
21;61;1004;1008;1013;;DE42C3A8;52373
22;63;1005;1009;1014;;DE42C3A8;52374
23;66;1008;1012;1016;;DE42C3A8;52375
24;70;1008;1013;1016;;DE42C3A8;52376
25;72;1012;1014;1016;;DE42C3A8;52377
26;76;1012;1015;1017;;DE42C3A8;52378
27;79;1013;1016;1018;;DE42C3A8;52379
28;83;1014;1017;1018;;DE42C3A8;52380
29;85;1015;1018;1019;;DE42C3A8;52381
30;88;1016;1019;1020;;DE42C3A8;52382
31;91;1017;1020;1021;;DE42C3A8;52383
32;93;1018;1021;1022;;DE42C3A8;52384
33;96;1019;1022;1023;;DE42C3A8;52385
34;99;1020;1023;1023;;DE42C3A8;52386
35;102;1021;1023;1024;;DE42C3A8;52387
