ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.15][Dynamic][Lambda]

Дата:;;;;2018.02.13
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;300
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;0

Tsyn:;;;;18:52:58.369
T0:;;;;18:52:58.789
Tend:;;;;18:52:58.892
T0 - Tsyn:;;;;0.420
Tend - T0:;;;;0.103
Tend - Tsyn:;;;;0.523

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;420;1;421;2;421;1;;0;DE2D966A;64015
1;2;0;421;2;422;2;422;1;;0;DE2D966A;64016
2;3;0;421;2;422;2;423;2;;0;DE2D966A;64017
3;4;0;422;2;423;2;424;2;;0;DE2D966A;64018
4;5;0;423;3;424;2;424;2;;0;DE2D966A;64019
5;6;0;423;3;424;2;424;2;;0;DE2D966A;64020
6;8;0;424;3;424;2;425;2;;0;DE2D966A;64021
7;9;0;424;3;425;3;425;3;;0;DE2D966A;64022
8;10;0;425;3;425;3;426;2;;0;DE2D966A;64023
9;11;0;425;3;426;3;426;2;;0;DE2D966A;64024
10;13;0;425;4;426;2;426;2;;0;DE2D966A;64025
11;14;0;426;3;426;3;427;3;;0;DE2D966A;64026
12;15;0;426;3;427;3;427;2;;0;DE2D966A;64027
13;17;0;426;3;427;3;427;2;;0;DE2D966A;64028
14;18;0;427;4;427;2;428;2;;0;DE2D966A;64029
15;20;0;427;3;428;3;428;2;;0;DE2D966A;64030
16;21;0;427;3;428;3;428;2;;0;DE2D966A;64031
17;22;0;428;3;428;2;428;2;;0;DE2D966A;64032
18;23;0;428;3;429;2;429;2;;0;DE2D966A;64033
19;25;0;428;3;429;2;429;2;;0;DE2D966A;64034
20;26;0;429;3;429;2;429;2;;0;DE2D966A;64035
21;27;0;429;3;430;2;430;2;;0;DE2D966A;64036
22;29;0;429;3;430;3;430;2;;0;DE2D966A;64037
23;30;0;430;3;430;2;431;2;;0;DE2D966A;64038
24;31;0;430;3;431;3;431;3;;0;DE2D966A;64039
25;33;0;431;3;431;3;431;2;;0;DE2D966A;64040
26;34;0;431;3;431;3;432;2;;0;DE2D966A;64041
27;36;0;431;4;432;2;432;2;;0;DE2D966A;64042
28;37;0;432;3;432;2;432;2;;0;DE2D966A;64043
29;39;0;432;3;432;2;432;2;;0;DE2D966A;64044
30;40;0;432;3;433;2;433;2;;0;DE2D966A;64045
31;41;0;432;3;433;2;433;2;;0;DE2D966A;64046
32;43;0;433;3;433;2;433;2;;0;DE2D966A;64047
33;45;0;433;3;433;2;434;2;;0;DE2D966A;64048
34;46;0;433;3;434;2;434;2;;0;DE2D966A;64049
35;47;0;434;3;434;2;434;2;;0;DE2D966A;64050
36;49;0;434;3;434;2;435;2;;0;DE2D966A;64051
37;50;0;434;3;435;2;435;2;;0;DE2D966A;64052
38;52;0;435;3;435;2;435;1;;0;DE2D966A;64053
39;53;0;435;3;435;3;436;3;;0;DE2D966A;64054
40;54;0;435;2;436;3;437;3;;0;DE2D966A;64055
41;56;0;435;3;437;3;437;3;;0;DE2D966A;64056
42;57;0;436;4;437;3;437;3;;0;DE2D966A;64057
43;59;0;437;4;437;3;437;3;;0;DE2D966A;64058
44;61;0;437;4;438;3;438;3;;0;DE2D966A;64059
45;63;0;437;4;438;3;438;3;;0;DE2D966A;64060
46;65;0;437;4;438;3;438;3;;0;DE2D966A;64061
47;66;0;438;4;438;3;439;3;;0;DE2D966A;64062
48;68;0;438;4;439;3;439;3;;0;DE2D966A;64063
49;69;0;438;4;439;3;439;3;;0;DE2D966A;64064
50;70;0;439;4;439;3;439;3;;0;DE2D966A;64065
51;72;0;439;4;440;4;440;3;;0;DE2D966A;64066
52;73;0;439;4;440;4;440;3;;0;DE2D966A;64067
53;75;0;439;4;440;3;440;3;;0;DE2D966A;64068
54;76;0;440;4;440;3;441;3;;0;DE2D966A;64069
55;78;0;440;4;441;3;441;3;;0;DE2D966A;64070
56;79;0;440;4;441;3;441;3;;0;DE2D966A;64071
57;80;0;441;4;441;3;442;3;;0;DE2D966A;64072
58;82;0;441;4;442;3;442;3;;0;DE2D966A;64073
59;83;0;441;4;442;3;442;3;;0;DE2D966A;64074
60;85;0;441;4;442;3;443;3;;0;DE2D966A;64075
