ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;100
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;13:23:46.680
T0:;;;;13:23:46.824
Tend:;;;;13:23:47.862
T0 - Tsyn:;;;;0,144
Tend - T0:;;;;1,038
Tend - Tsyn:;;;;1,182

P:;;;;85,0
ERR:;;;;0

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;144;1;145;3;1147;98;;0;DE43B2C2;65255
1;2;0;145;2;145;3;1147;99;;0;DE43B2C2;65256
2;3;0;145;3;146;5;1148;96;;0;DE43B2C2;65257
3;5;0;145;4;146;6;1148;95;;0;DE43B2C2;65258
4;6;0;146;5;146;7;1148;97;;0;DE43B2C2;65259
5;8;0;146;6;147;8;1149;92;;0;DE43B2C2;65260
6;9;0;146;7;147;9;1149;93;;0;DE43B2C2;65261
7;10;0;147;8;147;10;1149;94;;0;DE43B2C2;65262
8;12;0;147;9;148;11;1150;91;;0;DE43B2C2;65263
9;13;0;147;10;148;12;1150;89;;0;DE43B2C2;65264
10;14;0;148;11;149;14;1150;90;;0;DE43B2C2;65265
11;15;0;148;12;149;16;1151;87;;0;DE43B2C2;65266
12;17;0;148;13;149;16;1151;88;;0;DE43B2C2;65267
13;19;0;148;14;151;17;1152;86;;0;DE43B2C2;65268
14;20;0;149;15;151;18;1152;84;;0;DE43B2C2;65269
15;22;0;149;16;151;19;1152;85;;0;DE43B2C2;65270
16;23;0;149;17;151;21;1153;83;;0;DE43B2C2;65271
17;24;0;151;18;151;22;1153;82;;0;DE43B2C2;65272
18;26;0;151;19;152;23;1154;80;;0;DE43B2C2;65273
19;27;0;151;20;152;23;1154;81;;0;DE43B2C2;65274
20;28;0;151;21;152;24;1154;79;;0;DE43B2C2;65275
21;29;0;151;22;153;26;1155;77;;0;DE43B2C2;65276
22;31;0;152;23;153;27;1155;75;;0;DE43B2C2;65277
23;32;0;152;24;153;28;1155;76;;0;DE43B2C2;65278
24;34;0;152;25;154;29;1155;78;;0;DE43B2C2;65279
25;35;0;153;26;154;30;1156;74;;0;DE43B2C2;65280
26;36;0;153;27;154;31;1156;73;;0;DE43B2C2;65281
27;38;0;153;28;155;32;1156;72;;0;DE43B2C2;65282
28;39;0;153;29;155;33;1157;69;;0;DE43B2C2;65283
29;40;0;154;30;155;33;1157;71;;0;DE43B2C2;65284
30;42;0;154;31;155;35;1157;70;;0;DE43B2C2;65285
31;43;0;154;32;156;36;1158;67;;0;DE43B2C2;65286
32;45;0;155;33;156;37;1158;68;;0;DE43B2C2;65287
33;46;0;155;34;157;38;1159;66;;0;DE43B2C2;65288
34;47;0;155;35;157;39;1159;64;;0;DE43B2C2;65289
35;49;0;156;36;157;40;1159;63;;0;DE43B2C2;65290
36;50;0;156;37;158;41;1159;65;;0;DE43B2C2;65291
37;52;0;157;38;158;42;1160;60;;0;DE43B2C2;65292
38;53;0;157;39;158;43;1160;62;;0;DE43B2C2;65293
39;55;0;157;40;159;44;1160;61;;0;DE43B2C2;65294
40;56;0;158;41;159;44;1161;58;;0;DE43B2C2;65295
41;58;0;158;42;159;46;1161;59;;0;DE43B2C2;65296
42;59;0;158;43;159;47;1161;57;;0;DE43B2C2;65297
43;61;0;158;44;161;48;1162;54;;0;DE43B2C2;65298
44;62;0;159;45;161;49;1162;56;;0;DE43B2C2;65299
45;63;0;159;46;161;50;1162;55;;0;DE43B2C2;65300
46;65;0;159;47;162;51;1163;53;;0;DE43B2C2;65301
47;66;0;161;48;162;52;1163;50;;0;DE43B2C2;65302
48;68;0;161;49;162;53;1163;52;;0;DE43B2C2;65303
49;69;0;161;50;163;54;1163;51;;0;DE43B2C2;65304
50;71;0;162;51;163;55;1164;48;;0;DE43B2C2;65305
51;72;0;162;52;163;56;1164;49;;0;DE43B2C2;65306
52;73;0;162;53;164;57;1164;47;;0;DE43B2C2;65307
53;75;0;162;54;164;58;1165;44;;0;DE43B2C2;65308
54;76;0;163;55;164;59;1165;45;;0;DE43B2C2;65309
55;78;0;163;56;165;60;1165;46;;0;DE43B2C2;65310
56;79;0;163;57;165;61;1166;43;;0;DE43B2C2;65311
57;81;0;164;58;165;62;1166;41;;0;DE43B2C2;65312
58;82;0;164;59;165;63;1166;42;;0;DE43B2C2;65313
59;84;0;164;60;166;64;1168;38;;0;DE43B2C2;65314
60;85;0;165;61;166;65;1168;36;;0;DE43B2C2;65315
61;87;0;165;62;166;66;1167;40;;0;DE43B2C2;65316
62;88;0;165;63;167;67;1167;39;;0;DE43B2C2;65317
63;90;0;166;64;167;68;1168;37;;0;DE43B2C2;65318
64;91;0;166;65;167;69;1168;34;;0;DE43B2C2;65319
65;93;0;166;66;168;70;1168;35;;0;DE43B2C2;65320
66;95;0;167;67;168;71;1169;33;;0;DE43B2C2;65321
67;96;0;167;68;168;72;1169;31;;0;DE43B2C2;65322
68;98;0;167;69;169;73;1169;32;;0;DE43B2C2;65323
69;100;0;167;70;169;74;1180;1;;0;DE43B2C2;65324
70;101;0;168;71;169;74;1170;30;;0;DE43B2C2;65325
71;103;0;168;72;169;75;1170;29;;0;DE43B2C2;65326
72;104;0;169;73;170;76;1171;27;;0;DE43B2C2;65327
73;105;0;169;74;170;77;1171;28;;0;DE43B2C2;65328
74;107;0;169;75;171;78;1182;0;;0;DE43B2C2;65329
75;108;0;170;76;171;80;1172;25;;0;DE43B2C2;65330
76;110;0;170;77;171;81;1172;26;;0;DE43B2C2;65331
77;111;0;170;78;172;82;1173;23;;0;DE43B2C2;65332
78;113;0;171;79;172;83;1173;22;;0;DE43B2C2;65333
79;114;0;171;80;172;84;1173;24;;0;DE43B2C2;65334
80;115;0;171;81;173;85;1174;19;;0;DE43B2C2;65335
81;116;0;172;82;173;86;1175;17;;0;DE43B2C2;65336
82;118;0;172;83;173;87;1174;21;;0;DE43B2C2;65337
83;119;0;172;84;174;88;1174;20;;0;DE43B2C2;65338
84;121;0;173;85;174;89;1175;16;;0;DE43B2C2;65339
85;122;0;173;86;174;90;1174;18;;0;DE43B2C2;65340
86;123;0;173;87;175;91;1175;15;;0;DE43B2C2;65341
87;125;0;174;88;175;92;1176;12;;0;DE43B2C2;65342
88;126;0;174;89;175;93;1176;13;;0;DE43B2C2;65343
89;127;0;174;90;176;94;1176;14;;0;DE43B2C2;65344
90;128;0;175;91;176;95;1177;9;;0;DE43B2C2;65345
91;130;0;175;92;176;96;1177;11;;0;DE43B2C2;65346
92;131;0;175;93;177;97;1177;10;;0;DE43B2C2;65347
93;132;0;176;94;177;98;1178;8;;0;DE43B2C2;65348
94;133;0;176;95;177;99;1178;7;;0;DE43B2C2;65349
95;135;0;176;96;178;100;1179;3;;0;DE43B2C2;65350
96;136;0;177;97;178;100;1179;4;;0;DE43B2C2;65351
97;137;0;177;98;178;100;1180;2;;0;DE43B2C2;65352
98;138;0;177;99;178;100;1179;5;;0;DE43B2C2;65353
99;140;0;178;100;178;100;1179;6;;0;DE43B2C2;65354
