ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;100
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;14:19:00.826
T0:;;;;14:19:00.923
Tend:;;;;14:20:06.938
T0 - Tsyn:;;;;0,097
Tend - T0:;;;;6,015
Tend - Tsyn:;;;;6,112

P:;;;;0,98
ERR:;;;;35

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;97;1;100;6;1101;64;;0;DE43BFB4;60639
1;3;0;97;2;1114;64;2115;63;;0;DE43BFB5;60640
2;4;0;98;3;2131;63;3132;62;;0;DE43BFB6;60641
3;5;0;98;4;3146;62;4148;61;;0;DE43BFB7;60642
4;6;0;99;5;4162;61;5163;60;;0;DE43BFB8;60643
5;7;0;99;6;5177;60;6179;59;;0;DE43BFB9;60644
6;8;0;508;16;15331;50;16332;49;;0;DE43BFC4;60645
7;9;0;510;17;16347;49;17349;48;;0;DE43BFC5;60646
8;10;0;512;18;17363;48;18364;47;;0;DE43BFC6;60647
9;11;0;512;19;18380;47;19381;46;;0;DE43BFC7;60648
10;12;0;513;20;19396;46;20397;45;;0;DE43BFC8;60649
11;14;0;100;7;6192;59;7194;58;;0;DE43BFBB;60650
12;15;0;518;22;21426;44;22428;43;;0;DE43BFCA;60651
13;16;0;518;21;20411;45;21412;44;;0;DE43BFC9;60652
14;17;0;519;23;22442;43;23443;42;;0;DE43BFCB;60653
15;18;0;1018;41;40721;25;41723;24;;0;DE43BFDD;60654
16;19;0;1026;45;44781;21;45783;20;;0;DE43BFE1;60655
17;21;0;1021;42;41736;24;42737;23;;0;DE43BFDE;60656
18;22;0;1026;46;45799;20;46801;19;;0;DE43BFE2;60657
19;22;0;1027;47;46809;19;47811;18;;0;DE43BFE3;60658
20;23;0;1024;43;42750;23;43752;22;;0;DE43BFDF;60659
21;24;0;1025;44;43765;22;44767;21;;0;DE43BFE0;60660
22;25;0;100;8;7208;58;8210;57;;0;DE43BFBC;60661
23;27;0;527;24;23457;42;24458;41;;0;DE43BFCC;60662
24;28;0;1028;48;47817;18;48819;17;;0;DE43BFE4;60663
25;28;0;;0;;0;;0;1029;48;0;60664
26;29;0;;0;;0;;0;1030;48;0;60665
27;30;0;531;25;24472;41;25475;40;;0;DE43BFCD;60666
28;31;0;1032;49;48834;17;49836;16;;0;DE43BFE5;60667
29;32;0;;0;;0;;0;1033;49;0;60668
30;33;0;1037;50;49852;16;50853;15;;0;DE43BFE6;60669
31;33;0;536;26;25489;40;26490;39;;0;DE43BFCE;60670
32;34;0;;0;;0;;0;1035;49;0;60671
33;36;0;101;9;8224;57;9226;56;;0;DE43BFBD;60672
34;37;0;;0;;0;;0;1037;50;0;60673
35;37;0;;0;;0;;0;1038;50;0;60674
36;38;0;;0;;0;;0;1040;51;0;60675
37;39;0;1040;51;50871;15;51872;14;;0;DE43BFE7;60676
38;40;0;540;27;26505;39;27507;38;;0;DE43BFCF;60677
39;41;0;;0;;0;;0;1042;51;0;60678
40;41;0;;0;;0;;0;1042;51;0;60679
41;42;0;1044;52;51889;14;52892;13;;0;DE43BFE8;60680
42;43;0;;0;;0;;0;1044;52;0;60681
43;44;0;101;10;9240;56;10240;55;;0;DE43BFBE;60682
44;46;0;548;30;29551;36;30552;35;;0;DE43BFD2;60683
45;46;0;547;29;28536;37;29537;36;;0;DE43BFD1;60684
46;47;0;547;28;27520;38;28521;37;;0;DE43BFD0;60685
47;48;0;1048;53;52902;13;53903;12;;0;DE43BFE9;60686
48;48;0;;0;;0;;0;1049;53;0;60687
49;49;0;;0;;0;;0;1051;53;0;60688
50;50;0;;0;;0;;0;1050;53;0;60689
51;51;0;;0;;0;;0;1052;53;0;60690
52;52;0;;0;;0;;0;1052;53;0;60691
53;53;0;101;11;10254;55;11257;54;;0;DE43BFBF;60692
54;54;0;1054;54;53918;12;54920;11;;0;DE43BFEA;60693
55;55;0;;0;;0;;0;1055;54;0;60694
56;55;0;;0;;0;;0;1056;54;0;60695
57;56;0;;0;;0;;0;1056;54;0;60696
58;57;0;558;31;30566;35;31567;34;;0;DE43BFD3;60697
59;58;0;1058;55;54934;11;55936;10;;0;DE43BFEB;60698
60;58;0;;0;;0;;0;1060;55;0;60699
61;59;0;;0;;0;;0;1060;55;0;60700
62;60;0;562;32;31581;34;32582;33;;0;DE43BFD4;60701
63;61;0;102;12;11271;54;12272;53;;0;DE43BFC0;60702
64;62;0;1063;56;55950;10;56952;9;;0;DE43BFEC;60703
65;63;0;;0;;0;;0;1063;56;0;60704
66;64;0;;0;;0;;0;1068;57;0;60705
67;64;0;;0;;0;;0;1068;57;0;60706
68;65;0;567;33;32596;33;33597;32;;0;DE43BFD5;60707
69;66;0;567;34;33610;32;34612;31;;0;DE43BFD6;60708
70;67;0;1067;57;56967;9;57968;8;;0;DE43BFED;60709
71;67;0;;0;;0;;0;1070;57;0;60710
72;68;0;;0;;0;;0;1069;57;0;60711
73;69;0;102;13;12285;53;13287;52;;0;DE43BFC1;60712
74;70;0;1071;58;57983;8;58984;7;;0;DE43BFEE;60713
75;71;0;;0;;0;;0;1072;58;0;60714
76;72;0;;0;;0;;0;1073;58;0;60715
77;73;0;;0;;0;;0;1073;58;0;60716
78;74;0;575;35;34626;31;35627;30;;0;DE43BFD7;60717
79;74;0;1076;59;59007;7;60009;6;;0;DE43BFEF;60718
80;75;0;1076;60;60027;6;61028;5;;0;DE43BFF0;60719
81;76;0;;0;;0;;0;1077;60;0;60720
82;77;0;;0;;0;;0;1077;60;0;60721
83;78;0;102;14;13300;52;14302;51;;0;DE43BFC2;60722
84;79;0;;0;;0;;0;1081;60;0;60723
85;80;0;580;36;35641;30;36642;29;;0;DE43BFD8;60724
86;80;0;;0;;0;;0;1081;60;0;60725
87;81;0;;0;;0;;0;1081;60;0;60726
88;82;0;1084;61;61041;5;62043;4;;0;DE43BFF1;60727
89;83;0;;0;;0;;0;1083;60;0;60728
90;83;0;1099;64;64089;2;65091;1;;0;DE43BFF4;60729
91;84;0;598;40;39706;26;40707;25;;0;DE43BFDC;60730
92;85;0;586;37;36658;29;37660;28;;0;DE43BFD9;60731
93;86;0;103;15;14316;51;15317;50;;0;DE43BFC3;60732
94;87;0;1088;62;62057;4;63059;3;;0;DE43BFF2;60733
95;88;0;588;38;37674;28;38676;27;;0;DE43BFDA;60734
96;88;0;;0;;0;;0;1091;62;0;60735
97;89;0;591;39;38690;27;39691;26;;0;DE43BFDB;60736
98;90;0;1100;65;65111;1;66112;0;;0;DE43BFF5;60737
99;92;0;1099;63;63072;3;64073;2;;0;DE43BFF3;60738
