ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10]

Дата:;;;;2018.01.17
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;1000
Режим на формиране на заявките:;;;;Consecutive
Задръжка до разпадане:;;;;0

Начало:;;;;17:19:49.900
Край:;;;;17:21:11.892
Продължителност:;;;;21.992

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;6;1;56;8;57;7;;0;DE09E815;57758
1;8;1;9;2;69;7;69;6;;0;DE09E815;57759
2;12;2;12;3;74;6;75;5;;0;DE09E815;57760
3;18;3;19;4;81;5;82;4;;0;DE09E815;57761
4;22;4;22;5;83;4;84;3;;0;DE09E815;57762
5;25;5;25;6;90;3;91;2;;0;DE09E815;57763
6;28;6;28;7;92;2;93;1;;0;DE09E815;57764
7;33;7;34;8;99;1;100;0;;0;DE09E815;57765
8;36;8;542;1;627;7;628;6;;0;DE09E816;57766
9;559;1;560;2;630;6;630;5;;0;DE09E816;57771
10;565;2;566;3;636;5;637;4;;0;DE09E816;57772
11;571;3;572;4;638;4;639;3;;0;DE09E816;57773
12;578;4;583;5;644;3;645;2;;0;DE09E816;57774
13;589;5;589;6;647;2;648;1;;0;DE09E816;57775
14;594;6;594;7;656;1;657;0;;0;DE09E816;57776
15;599;7;1099;1;1187;7;1188;6;;0;DE09E817;57777
16;1114;1;1116;2;1190;6;1190;5;;0;DE09E817;57778
17;1124;2;1125;3;1195;5;1196;4;;0;DE09E817;57779
18;1131;3;1132;4;1198;4;1199;3;;0;DE09E817;57780
19;1138;4;1138;5;1203;3;1204;2;;0;DE09E817;57781
20;1148;5;1149;6;1206;2;1207;1;;0;DE09E817;57782
21;1154;6;1155;7;1212;1;1213;0;;0;DE09E817;57783
22;1159;7;1660;1;1738;7;1739;6;;0;DE09E817;57784
23;1675;1;1676;2;1753;6;1754;5;;0;DE09E817;57794
24;1685;2;1686;3;1756;5;1756;4;;0;DE09E817;57795
25;1694;3;1695;4;1762;4;1762;3;;0;DE09E817;57796
26;1701;4;1701;5;1764;3;1764;2;;0;DE09E817;57797
27;1710;5;1710;6;1770;2;1770;1;;0;DE09E817;57798
28;1715;6;1715;7;1772;1;1773;0;;0;DE09E817;57799
29;1720;7;2221;1;2318;7;2319;6;;0;DE09E818;57800
30;2236;1;2237;2;2328;6;2329;5;;0;DE09E818;57801
31;2246;2;2247;3;2330;5;2331;4;;0;DE09E818;57802
32;2255;3;2256;4;2336;4;2337;3;;0;DE09E818;57803
33;2265;4;2266;5;2338;3;2339;2;;0;DE09E818;57804
34;2275;5;2275;6;2347;2;2348;1;;0;DE09E818;57805
35;2280;6;2280;7;2350;1;2350;0;;0;DE09E818;57806
36;2285;7;2786;1;2876;7;2879;6;;0;DE09E818;57807
37;2801;1;2802;2;2896;6;2897;5;;0;DE09E818;57811
