ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР;;;;;;;;;;;;
;;;;;;;;;;;;
Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10];;;;;;;;
;;;;;;;;;;;;
Дата:;;;;24.1.2018;;;;;;;;
IP адрес сървър:;;;;127.0.0.1;;;;;;;;
IP адрес клиент:;;;;;;;;;;;;
Обем на пакета:;;;;100;;;;;;;;
Режим на формиране на заявките:;;;;Consecutive;;;;;;;;
Задръжка до разпадане:;;;;0;;;;;;;;
;;;;;;;;;;;;
Начало:;;;;12:55:01.100;;;;;;;;
Край:;;;;12:55:04.858;;;;;;;;
Продължителност:;;;;3.758;;;;;;;;
;;;;;;;;;;;;
;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;7;1;19;3;19;2;;0;DE12E485;57400
1;9;1;9;2;67;12;67;11;;0;DE12E485;57401
2;12;2;12;3;77;11;78;10;;0;DE12E485;57403
3;17;3;21;3;88;10;89;9;;0;DE12E485;57404
4;23;3;23;4;97;9;98;8;;0;DE12E485;57405
5;25;4;26;5;99;8;100;7;;0;DE12E485;57406
6;27;5;28;6;105;7;105;6;;0;DE12E485;57407
7;31;6;31;7;107;6;107;5;;0;DE12E485;57408
8;33;7;34;8;113;5;114;4;;0;DE12E485;57409
9;35;8;37;9;115;4;116;3;;0;DE12E485;57410
10;41;9;41;10;121;3;122;2;;0;DE12E485;57411
11;44;10;45;11;123;2;124;1;;0;DE12E485;57412
12;46;11;47;12;129;1;130;0;;0;DE12E485;57413
13;49;12;551;1;642;15;643;14;;0;DE12E485;57414
14;560;1;561;2;655;14;656;13;;0;DE12E485;57423
15;569;2;571;3;665;13;666;12;;0;DE12E485;57424
16;581;3;582;4;682;12;683;11;;0;DE12E485;57425
17;586;4;587;5;685;11;686;10;;0;DE12E485;57427
18;590;5;590;6;691;10;691;9;;0;DE12E485;57428
19;597;6;600;7;693;9;694;8;;0;DE12E485;57429
20;603;7;605;8;699;8;700;7;;0;DE12E485;57430
21;611;8;611;9;701;7;702;6;;0;DE12E485;57431
22;614;9;615;10;708;6;709;5;;0;DE12E485;57432
23;616;10;617;11;710;5;711;4;;0;DE12E485;57433
24;621;11;621;12;716;4;716;3;;0;DE12E485;57434
25;624;12;625;13;718;3;719;2;;0;DE12E485;57435
26;628;13;628;14;725;2;726;1;;0;DE12E485;57436
27;630;14;631;15;727;1;728;0;;0;DE12E485;57437
28;632;15;1134;1;1303;17;1304;16;;0;DE12E486;57438
29;1142;1;1143;2;1321;16;1322;15;;0;DE12E486;57439
30;1152;2;1153;3;1335;15;1335;14;;0;DE12E486;57441
31;1162;3;1163;4;1350;14;1351;13;;0;DE12E486;57442
32;1171;4;1172;5;1362;13;1363;12;;0;DE12E486;57443
33;1182;5;1183;6;1365;12;1366;11;;0;DE12E486;57444
34;1188;6;1189;7;1373;11;1374;10;;0;DE12E486;57445
35;1195;7;1196;8;1376;10;1377;9;;0;DE12E486;57446
36;1207;8;1211;9;1384;9;1385;8;;0;DE12E486;57447
37;1220;9;1222;10;1387;8;1388;7;;0;DE12E486;57448
38;1231;10;1232;11;1395;7;1395;6;;0;DE12E486;57449
39;1237;11;1238;12;1398;6;1399;5;;0;DE12E486;57450
40;1245;12;1246;13;1407;5;1408;4;;0;DE12E486;57451
41;1256;13;1257;14;1409;4;1410;3;;0;DE12E486;57452
42;1267;14;1268;15;1418;3;1419;2;;0;DE12E486;57453
43;1276;15;1276;16;1421;2;1422;1;;0;DE12E486;57454
44;1279;16;1279;17;1427;1;1428;0;;0;DE12E486;57455
45;1282;17;1783;1;1939;17;1940;16;;0;DE12E486;57456
46;1792;1;1793;2;1960;16;1960;15;;0;DE12E486;57465
47;1803;2;1804;3;1977;15;1978;14;;0;DE12E487;57466
48;1813;3;1814;4;1993;14;1995;13;;0;DE12E487;57467
49;1825;4;1826;5;2006;13;2007;12;;0;DE12E487;57468
50;1832;5;1832;6;2009;12;2010;11;;0;DE12E487;57469
51;1838;6;1839;7;2017;11;2018;10;;0;DE12E487;57470
52;1849;7;1850;8;2020;10;2021;9;;0;DE12E487;57471
53;1859;8;1864;9;2028;9;2029;8;;0;DE12E487;57472
54;1873;9;1874;10;2031;8;2032;7;;0;DE12E487;57473
55;1879;10;1880;11;2039;7;2040;6;;0;DE12E487;57474
56;1885;11;1886;12;2043;6;2044;5;;0;DE12E487;57475
57;1891;12;1892;13;2052;5;2053;4;;0;DE12E487;57476
58;1902;13;1903;14;2054;4;2055;3;;0;DE12E487;57477
59;1908;14;1910;15;2060;3;2061;2;;0;DE12E487;57478
60;1915;15;1915;16;2062;2;2063;1;;0;DE12E487;57479
61;1918;16;1919;17;2068;1;2069;0;;0;DE12E487;57480
62;1921;17;2423;1;2571;19;2571;18;;0;DE12E487;57481
63;2431;1;2433;2;2585;18;2586;17;;0;DE12E487;57483
64;2441;2;2442;3;2598;17;2598;16;;0;DE12E487;57484
65;2452;3;2453;4;2609;16;2610;15;;0;DE12E487;57485
66;2462;4;2464;5;2623;15;2623;14;;0;DE12E487;57486
