ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.15][Dynamic][Lambda]

Дата:;;;;2018.02.15
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;5
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;0

Tsyn:;;;;01:25:41.100
T0:;;;;01:25:41.131
Tend:;;;;01:25:41.141
T0 - Tsyn:;;;;0.031
Tend - T0:;;;;0.010
Tend - Tsyn:;;;;0.041

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;31;1;31;2;32;2;;0;DE2F43F5;63222
1;1;0;31;2;32;3;33;3;;0;DE2F43F5;63223
2;3;0;32;3;33;3;34;2;;0;DE2F43F5;63224
3;4;0;32;3;33;3;35;1;;0;DE2F43F5;63225
4;6;0;32;4;33;3;41;0;;0;DE2F43F5;63226
