ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.18][Dynamic][Lambda]

Дата:;;;;2018.06.29
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;50
Режим на формиране на заявките:;;;;Consecutive
Задръжка до разпадане:;;;;1000

Режим на протокола:;;;;Screen Off
Tsyn:;;;;08:53:21.399
T0:;;;;08:53:21.415
Tend:;;;;08:54:13.035
T0 - Tsyn:;;;;0,016
Tend - T0:;;;;51,620
Tend - Tsyn:;;;;51,636

P:;;;;0,97
ERR:;;;;0
;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;16;1;16;4;1032;12;;0;DEE047D1;61192
1;16;1;16;2;1047;12;2058;23;;0;DEE047D2;61193
2;16;2;16;3;2073;23;3096;34;;0;DEE047D3;61194
3;16;3;16;4;3111;34;4124;45;;0;DEE047D4;61195
4;16;4;16;5;4139;45;5156;45;;0;DEE047D5;61196
5;16;5;16;6;5171;45;6187;44;;0;DEE047D6;61197
6;16;6;16;7;6203;44;7219;43;;0;DEE047D7;61198
7;16;7;547;8;7250;43;8253;42;;0;DEE047D8;61199
8;563;8;563;9;8269;42;9285;41;;0;DEE047D9;61200
9;563;9;563;10;9300;41;10316;40;;0;DEE047DA;61201
10;563;10;563;11;10331;40;11347;39;;0;DEE047DB;61202
11;578;11;578;12;11363;39;12386;38;;0;DEE047DC;61203
12;578;12;578;13;12401;38;13421;37;;0;DEE047DD;61204
13;578;13;1094;13;13437;37;14453;36;;0;DEE047DE;61205
14;1094;13;1094;14;14468;36;15484;35;;0;DEE047DF;61206
15;1094;14;1094;15;15499;35;16512;34;;0;DEE047E0;61207
16;1094;15;1110;16;16528;34;17543;33;;0;DEE047E1;61208
17;1110;16;1110;17;17559;33;18572;32;;0;DEE047E2;61209
18;1110;17;1110;18;18588;32;19608;31;;0;DEE047E3;61210
19;1110;18;1628;19;19623;31;20636;30;;0;DEE047E5;61211
20;1628;19;1628;20;20652;30;21673;29;;0;DEE047E6;61212
21;1628;20;1628;21;21698;29;22715;28;;0;DEE047E7;61213
22;1628;21;1644;22;22730;28;23751;27;;0;DEE047E8;61214
23;1644;22;1644;23;23767;27;24786;26;;0;DEE047E9;61215
24;1644;23;1644;24;24802;26;25813;25;;0;DEE047EA;61216
25;1644;24;2167;24;25828;25;26852;24;;0;DEE047EB;61217
26;2167;24;2167;25;26868;24;27886;23;;0;DEE047EC;61218
27;2167;25;2167;26;27902;23;28918;22;;0;DEE047ED;61219
28;2167;26;2183;27;28933;22;29949;21;;0;DEE047EE;61220
29;2183;27;2183;28;29965;21;30985;20;;0;DEE047EF;61221
30;2183;28;2183;29;31001;20;32022;19;;0;DEE047F0;61222
31;2183;29;2708;30;32038;19;33048;18;;0;DEE047F1;61223
32;2708;30;2708;31;33063;18;34080;17;;0;DEE047F2;61224
33;2708;31;2708;32;34095;17;35115;16;;0;DEE047F3;61225
34;2708;32;2724;33;35131;16;36142;15;;0;DEE047F4;61226
35;2724;33;2724;34;36157;15;37176;14;;0;DEE047F5;61227
36;2724;34;2724;35;37192;14;38210;13;;0;DEE047F6;61228
37;2724;35;3252;35;38225;13;39245;12;;0;DEE047F7;61229
38;3252;35;3252;36;39245;12;40261;11;;0;DEE047F8;61230
39;3252;36;3252;37;40277;11;41287;10;;0;DEE047F9;61231
40;3252;37;3268;38;41302;10;42319;9;;0;DEE047FA;61232
41;3268;38;3268;39;42334;9;43350;8;;0;DEE047FB;61233
42;3268;39;3268;40;43366;8;44381;7;;0;DEE047FC;61234
43;3268;40;3780;41;44397;7;45423;6;;0;DEE047FD;61235
44;3780;41;3780;42;45454;6;46464;5;;0;DEE047FE;61236
45;3780;42;3780;43;46479;5;47492;4;;0;DEE047FF;61237
46;3780;43;3796;44;47508;4;48526;3;;0;DEE04800;61238
47;3796;44;3796;45;48542;3;49565;2;;0;DEE04801;61239
48;3796;45;3796;46;49580;2;50596;1;;0;DEE04802;61240
49;3796;46;4311;46;50611;1;51636;0;;0;DEE04804;61241
