ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.18][Dynamic][Lambda]

Дата:;;;;2018.06.29
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;50
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Режим на протокола:;;;;Screen Off
Tsyn:;;;;08:55:56.744
T0:;;;;08:55:56.822
Tend:;;;;08:55:59.229
T0 - Tsyn:;;;;0,078
Tend - T0:;;;;2,407
Tend - Tsyn:;;;;2,485

P:;;;;20,00
ERR:;;;;0
;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;78;1;94;27;1109;48;;0;DEE0486C;61246
1;0;0;78;2;94;27;1109;49;;0;DEE0486C;61247
2;0;0;78;3;109;27;1125;47;;0;DEE0486C;61248
3;0;0;78;4;141;27;1156;46;;0;DEE0486C;61249
4;0;0;78;5;141;27;1172;44;;0;DEE0486C;61250
5;0;0;94;6;156;27;1172;45;;0;DEE0486C;61251
6;16;0;94;7;187;27;1203;42;;0;DEE0486C;61252
7;16;0;94;8;187;27;1203;41;;0;DEE0486C;61253
8;16;0;94;9;187;27;1203;43;;0;DEE0486C;61254
9;16;0;94;10;203;27;1219;37;;0;DEE0486C;61255
10;16;0;94;11;203;27;1219;39;;0;DEE0486C;61256
11;16;0;94;12;203;27;1219;40;;0;DEE0486C;61257
12;16;0;94;13;203;27;1219;38;;0;DEE0486C;61258
13;16;0;531;29;687;42;1703;21;;0;DEE0486D;61259
14;16;0;94;14;203;27;1234;35;;0;DEE0486C;61260
15;16;0;531;28;625;42;1641;22;;0;DEE0486D;61261
16;31;0;562;32;812;42;1844;18;;0;DEE0486D;61262
17;31;0;562;33;828;42;1844;17;;0;DEE0486D;61263
18;31;0;562;36;859;42;1875;15;;0;DEE0486D;61264
19;31;0;94;15;219;27;1234;36;;0;DEE0486C;61265
20;31;0;94;16;219;27;1234;34;;0;DEE0486C;61266
21;31;0;94;17;219;27;1234;33;;0;DEE0486C;61267
22;31;0;547;31;812;42;1828;19;;0;DEE0486D;61268
23;31;0;547;30;734;42;1750;20;;0;DEE0486D;61269
24;31;0;562;35;859;42;1875;14;;0;DEE0486D;61270
25;31;0;562;34;844;42;1860;16;;0;DEE0486D;61271
26;47;0;94;18;219;27;1250;31;;0;DEE0486C;61272
27;47;0;94;19;234;27;1250;30;;0;DEE0486C;61273
28;47;0;1062;45;1422;23;2438;5;;0;DEE0486D;61274
29;47;0;94;20;234;27;1250;29;;0;DEE0486C;61275
30;47;0;94;21;234;27;1250;32;;0;DEE0486C;61276
31;47;0;1062;44;1187;44;2203;6;;0;DEE0486D;61277
32;47;0;1078;46;1422;23;2438;4;;0;DEE0486D;61278
33;47;0;1062;43;1141;47;2157;7;;0;DEE0486D;61279
34;47;0;578;39;906;42;1922;11;;0;DEE0486D;61280
35;62;0;94;22;250;27;1266;27;;0;DEE0486C;61281
36;62;0;94;23;250;27;1266;26;;0;DEE0486C;61282
37;62;0;94;24;250;27;1266;28;;0;DEE0486C;61283
38;62;0;578;38;891;42;1907;12;;0;DEE0486D;61284
39;62;0;578;37;875;42;1891;13;;0;DEE0486D;61285
40;62;0;578;40;906;42;1938;10;;0;DEE0486D;61286
41;62;0;578;42;937;42;1953;8;;0;DEE0486D;61287
42;62;0;578;41;922;42;1938;9;;0;DEE0486D;61288
43;62;0;94;25;250;27;1266;25;;0;DEE0486C;61289
44;78;0;94;26;266;27;1281;23;;0;DEE0486C;61290
45;78;0;94;27;266;27;1281;24;;0;DEE0486C;61291
46;78;0;1094;48;1453;23;2469;1;;0;DEE0486E;61292
47;78;0;1094;49;1453;23;2469;2;;0;DEE0486E;61293
48;78;0;1094;50;1469;23;2485;0;;0;DEE0486E;61294
49;78;0;1094;47;1438;23;2454;3;;0;DEE0486D;61295
